,id,tf
0,AHR_HUMAN.H11MO.0.B,AHR
1,AIRE_HUMAN.H11MO.0.C,AIRE
2,ALX1_HUMAN.H11MO.0.B,ALX1
3,ALX3_HUMAN.H11MO.0.D,ALX3
4,ALX4_HUMAN.H11MO.0.D,ALX4
5,ANDR_HUMAN.H11MO.0.A,AR
6,ANDR_HUMAN.H11MO.1.A,AR
7,ANDR_HUMAN.H11MO.2.A,AR
8,AP2A_HUMAN.H11MO.0.A,TFAP2A
9,AP2B_HUMAN.H11MO.0.B,TFAP2B
10,AP2C_HUMAN.H11MO.0.A,TFAP2C
11,AP2D_HUMAN.H11MO.0.D,TFAP2D
12,ARI3A_HUMAN.H11MO.0.D,ARID3A
13,ARI5B_HUMAN.H11MO.0.C,ARID5B
14,ARNT2_HUMAN.H11MO.0.D,ARNT2
15,ARNT_HUMAN.H11MO.0.B,ARNT
16,ARX_HUMAN.H11MO.0.D,ARX
17,ASCL1_HUMAN.H11MO.0.A,ASCL1
18,ASCL2_HUMAN.H11MO.0.D,ASCL2
19,ATF1_HUMAN.H11MO.0.B,ATF1
20,ATF2_HUMAN.H11MO.0.B,ATF2
21,ATF2_HUMAN.H11MO.1.B,ATF2
22,ATF2_HUMAN.H11MO.2.C,ATF2
23,ATF3_HUMAN.H11MO.0.A,ATF3
24,ATF4_HUMAN.H11MO.0.A,ATF4
25,ATF6A_HUMAN.H11MO.0.B,ATF6
26,ATF7_HUMAN.H11MO.0.D,ATF7
27,ATOH1_HUMAN.H11MO.0.B,ATOH1
28,BACH1_HUMAN.H11MO.0.A,BACH1
29,BACH2_HUMAN.H11MO.0.A,BACH2
30,BARH1_HUMAN.H11MO.0.D,BARHL1
31,BARH2_HUMAN.H11MO.0.D,BARHL2
32,BARX1_HUMAN.H11MO.0.D,BARX1
33,BARX2_HUMAN.H11MO.0.D,BARX2
34,BATF3_HUMAN.H11MO.0.B,BATF3
35,BATF_HUMAN.H11MO.0.A,BATF
36,BATF_HUMAN.H11MO.1.A,BATF
37,BC11A_HUMAN.H11MO.0.A,BCL11A
38,BCL6B_HUMAN.H11MO.0.D,BCL6B
39,BCL6_HUMAN.H11MO.0.A,BCL6
40,BHA15_HUMAN.H11MO.0.B,BHLHA15
41,BHE22_HUMAN.H11MO.0.D,BHLHE22
42,BHE23_HUMAN.H11MO.0.D,BHLHE23
43,BHE40_HUMAN.H11MO.0.A,BHLHE40
44,BHE41_HUMAN.H11MO.0.D,BHLHE41
45,BMAL1_HUMAN.H11MO.0.A,ARNTL
46,BPTF_HUMAN.H11MO.0.D,BPTF
47,BRAC_HUMAN.H11MO.0.A,TBXT
48,BRAC_HUMAN.H11MO.1.B,TBXT
49,BRCA1_HUMAN.H11MO.0.D,BRCA1
50,BSH_HUMAN.H11MO.0.D,BSX
51,CDC5L_HUMAN.H11MO.0.D,CDC5L
52,CDX1_HUMAN.H11MO.0.C,CDX1
53,CDX2_HUMAN.H11MO.0.A,CDX2
54,CEBPA_HUMAN.H11MO.0.A,CEBPA
55,CEBPB_HUMAN.H11MO.0.A,CEBPB
56,CEBPD_HUMAN.H11MO.0.C,CEBPD
57,CEBPE_HUMAN.H11MO.0.A,CEBPE
58,CEBPG_HUMAN.H11MO.0.B,CEBPG
59,CEBPZ_HUMAN.H11MO.0.D,CEBPZ
60,CENPB_HUMAN.H11MO.0.D,CENPB
61,CLOCK_HUMAN.H11MO.0.C,CLOCK
62,COE1_HUMAN.H11MO.0.A,EBF1
63,COT1_HUMAN.H11MO.0.C,NR2F1
64,COT1_HUMAN.H11MO.1.C,NR2F1
65,COT2_HUMAN.H11MO.0.A,NR2F2
66,COT2_HUMAN.H11MO.1.A,NR2F2
67,CPEB1_HUMAN.H11MO.0.D,CPEB1
68,CR3L1_HUMAN.H11MO.0.D,CREB3L1
69,CR3L2_HUMAN.H11MO.0.D,CREB3L2
